,START_CITY,AVG_DIST,EARLIEST_TRIP,RECENT_TRIP
0,Agnew,2.775,2016-11-04 21:04:00,2016-11-06 10:50:00
1,Almond,15.2,2016-10-30 12:58:00,2016-10-30 12:58:00
2,Apex,5.341176470588235,2016-01-29 21:21:00,2016-12-12 14:26:00
3,Arabi,17.0,2016-06-25 10:50:00,2016-06-25 10:50:00
4,Arlington,4.9,2016-08-02 11:51:00,2016-08-02 11:51:00
5,Arlington Park at Amberly,1.3,2016-08-01 13:08:00,2016-08-01 13:08:00
6,Asheville,143.85,2016-10-28 20:13:00,2016-10-30 15:22:00
7,Austin,136.0,2016-03-17 12:52:00,2016-03-17 12:52:00
8,Banner Elk,12.375,2016-07-15 11:32:00,2016-07-17 11:23:00
9,Bellevue,12.9,2016-05-05 23:55:00,2016-05-05 23:55:00
10,Berkeley,14.375,2016-06-13 18:54:00,2016-11-17 10:13:00
11,Boone,102.0,2016-07-16 19:42:00,2016-07-17 12:20:00
12,Briar Meadow,9.6,2016-03-20 18:45:00,2016-03-20 18:45:00
13,Bryson City,20.82,2016-10-30 09:07:00,2016-10-30 13:24:00
14,Burtrose,4.8,2016-04-27 14:13:00,2016-04-27 14:13:00
15,CBD,3.85,2016-06-15 15:26:00,2016-07-10 14:10:00
16,Capitol One,9.45,2016-05-04 21:30:00,2016-05-06 05:47:00
17,Cary,8.911940298507462,2016-01-07 13:27:00,2016-12-15 14:20:00
18,Central,1.95,2016-11-09 21:56:00,2016-11-13 15:14:00
19,Chalmette,1.1,2016-06-25 10:18:00,2016-06-25 10:18:00
